Name,Price,Shipping,Available
GIGABYTE B450M DS3H AM4 AMD B450 SATA 6Gb/s Micro ATX AMD Motherboard,73.99,$3.99 Shipping,In Stock
MSI B450 TOMAHAWK MAX AM4 AMD B450 SATA 6Gb/s ATX AMD Motherboard,124.99,Free Shipping,OUT OF STOCK
MSI B450 GAMING PLUS MAX AM4 AMD B450 SATA 6Gb/s ATX AMD Motherboard,109.99,Free Shipping,OUT OF STOCK
,,,
,,,
,,,
MicroCenter Motherboards,,,
Product Name,Price,Stock,
ASRock X399 Taichi AMD TR4 ATX Motherboard,349.99,0 new in stock,
ASRock X399 Phantom Gaming 6 AMD TR4 ATX Motherboard,249.99,1 in stock,
,,,
,,,
,,,
MicroCenter Processors,,,
Product Name,Price,Stock,
AMD Ryzen 5 3600 Matisse 3.6GHz 6-Core AM4 Boxed Processor with Wraith Stealth Cooler,159.99,10+ in stock,
AMD Ryzen 7 3700X Matisse 3.6GHz 8-Core AM4 Boxed Processor with Wraith Prism Cooler,259.99,10+ in stock,
AMD Ryzen 9 3900X Matisse 3.8GHz 12-Core AM4 Boxed Processor with Wraith Prism Cooler,399.99,10+ in stock,
AMD Ryzen 7 3800X Matisse 3.9GHz 8-Core AM4 Boxed Processor with Wraith Prism Cooler,299.99,10+ in stock,
AMD Ryzen 9 3950X Matisse 3.5GHz 16-Core AM4 Boxed Processor,669.99,10+ in stock,
AMD Ryzen Threadripper 2990WX Colfax 3.0GHz 32-Core TR4 Boxed Processor,1199.99,4 in stock,
AMD Ryzen Threadripper 3960X 3.8GHz 24 Core sTRX4 Boxed Processor,1299.99,10+ in stock,
AMD Ryzen Threadripper 3990X Castle Peak 2.9GHz 64-Core sTRX4 Boxed Processor,3449.99,4 in stock,
,,,
,,,
Date: 07/07/2020 00:07:06,,,
Newegg,,,
Name,Price,Shipping,Available
GIGABYTE B450M DS3H AM4 AMD B450 SATA 6Gb/s Micro ATX AMD Motherboard,73.99,$3.99 Shipping,In Stock
MSI B450 TOMAHAWK MAX AM4 AMD B450 SATA 6Gb/s ATX AMD Motherboard,124.99,Free Shipping,OUT OF STOCK
MSI B450 GAMING PLUS MAX AM4 AMD B450 SATA 6Gb/s ATX AMD Motherboard,109.99,Free Shipping,OUT OF STOCK
,,,
,,,
,,,
MicroCenter Motherboards,,,
Product Name,Price,Stock,
ASRock X399 Taichi AMD TR4 ATX Motherboard,349.99,0 new in stock,
ASRock X399 Phantom Gaming 6 AMD TR4 ATX Motherboard,249.99,1 in stock,
,,,
,,,
,,,
MicroCenter Processors,,,
Product Name,Price,Stock,
AMD Ryzen 5 3600 Matisse 3.6GHz 6-Core AM4 Boxed Processor with Wraith Stealth Cooler,159.99,10+ in stock,
AMD Ryzen 7 3700X Matisse 3.6GHz 8-Core AM4 Boxed Processor with Wraith Prism Cooler,259.99,10+ in stock,
AMD Ryzen 9 3900X Matisse 3.8GHz 12-Core AM4 Boxed Processor with Wraith Prism Cooler,399.99,10+ in stock,
AMD Ryzen 7 3800X Matisse 3.9GHz 8-Core AM4 Boxed Processor with Wraith Prism Cooler,299.99,10+ in stock,
AMD Ryzen 9 3950X Matisse 3.5GHz 16-Core AM4 Boxed Processor,669.99,10+ in stock,
AMD Ryzen Threadripper 2990WX Colfax 3.0GHz 32-Core TR4 Boxed Processor,1199.99,4 in stock,
AMD Ryzen Threadripper 3960X 3.8GHz 24 Core sTRX4 Boxed Processor,1299.99,10+ in stock,
AMD Ryzen Threadripper 3990X Castle Peak 2.9GHz 64-Core sTRX4 Boxed Processor,3449.99,4 in stock,
,,,
,,,
Date: 07/07/2020 10:30:45,,,
Newegg,,,
Name,Price,Shipping,Available
GIGABYTE B450M DS3H AM4 AMD B450 SATA 6Gb/s Micro ATX AMD Motherboard,73.99,$3.99 Shipping,In Stock
MSI B450 TOMAHAWK MAX AM4 AMD B450 SATA 6Gb/s ATX AMD Motherboard,124.99,Free Shipping,OUT OF STOCK
MSI B450 GAMING PLUS MAX AM4 AMD B450 SATA 6Gb/s ATX AMD Motherboard,109.99,Free Shipping,OUT OF STOCK
,,,
,,,
,,,
MicroCenter Motherboards,,,
Product Name,Price,Stock,
MSI B450 Tomahawk Max AMD AM4 ATX Motherboard,124.99,10+ in stock,
MSI X570 MEG ACE AMD AM4 ATX Motherboard,379.99,10+ in stock,
ASUS B550-E ROG Strix Gaming AMD AM4 ATX Motherboard,279.99,9 in stock,
Gigabyte X570 Gaming X AMD AM4 ATX Motherboard,169.99,3 in stock,
ASUS B550M-A Prime AMD AM4 mATX Motherboard,134.99,10+ in stock,
MSI X470 GAMING PLUS MAX AMD ATX AM4 Motherboard,119.99,10+ in stock,
ASRock B450M-HDV R4.0 AMD AM4 mATX Motherboard,69.99,1 in stock,
Gigabyte A320 GA-A320M-S2H AMD AM4 mATX Motherboard,54.99,1 in stock,
ASUS B450M-PLUS TUF Gaming AMD AM4 mATX Motherboard,89.99,10+ in stock,
